"Gender","Age","Education","Social_media_use","Political Label","CMQ","Extraversion","Agreeableness","Conscientiousness","Neuroticism","Openness","CRT","Accuracy_False","Accuracy_True","Sharing_False","Sharing_True","Confidence_False","Confidence_True","Condition"
1,5,5,1,2,3.4,1.5,3.5,4.5,3.5,5,4,2.675,2.94166666666667,2.675,2.41666666666667,2.69166666666667,2.425,"Control"
2,1,2,4,4,4.6,2.5,5,5,4,3.5,2,2.79166666666667,2.95833333333333,1.625,1.33333333333333,3.44166666666667,3.75,"Control"
2,3,3,2,2,4.4,1,1.5,5,5,5,6,2.26666666666667,3.525,1,1.05,2.675,2.60833333333333,"Control"
1,3,3,2,1,2.6,2,3.5,3,2.5,4,2,2.43333333333333,3.39166666666667,1.91666666666667,2.33333333333333,3.96666666666667,3.46666666666667,"Control"
1,3,1,2,3,4.8,1,4.5,5,1,5,2,2.75833333333333,3.16666666666667,2.53333333333333,3.075,4.2,3.875,"Control"
1,1,3,4,1,2.8,3,3,3,2,4,0,2.23333333333333,2.99166666666667,1.93333333333333,2.95,1.93333333333333,2.98333333333333,"Control"
1,3,4,1,2,2.6,2,2.5,4,1.5,4,7,2,3.05,1,1,2.41666666666667,1.63333333333333,"Control"
1,6,3,1,4,4.4,1.5,3.5,3.5,3.5,4.5,2,2.90833333333333,3.53333333333333,3.85,3.325,3.85833333333333,3.41666666666667,"Control"
2,4,3,1,2,4.4,2,4.5,3.5,4,4,0,2.71666666666667,3.225,2.81666666666667,2.95,3.70833333333333,3.29166666666667,"Control"
2,5,2,2,4,4,2,4,4,1.5,3,2,3.3,3.35833333333333,3.675,3.64166666666667,3.80833333333333,3.65,"Control"
1,4,2,1,4,4.6,2,2,4,2,4,3,2.98333333333333,3.35,1.41666666666667,1.225,2.95833333333333,2.94166666666667,"Control"
1,4,3,1,2,2.8,3,4.5,3.5,1,1.5,6,2.15,3.55833333333333,1,1.08333333333333,2.46666666666667,2.31666666666667,"Control"
1,2,2,2,2,2.8,2,4,4.5,1.5,4,5,2.15833333333333,3.28333333333333,2.24166666666667,2.475,2.74166666666667,2.475,"Control"
1,2,2,1,4,2.2,2.5,3.5,4.5,2,2.5,6,2.325,3.275,1,1,2.3,1.6,"Control"
1,6,2,1,2,2,3,5,5,1,4,5,1.99166666666667,3.08333333333333,1,1,3.51666666666667,2.90833333333333,"Control"
2,4,3,1,2,2.6,2.5,4.5,4,3,4,3,2.23333333333333,3.75833333333333,1,1.15,2.81666666666667,2.275,"Control"
2,4,2,3,3,3.8,1.5,4,5,2,4,2,2.15833333333333,3.3,1.05,1,2.15,1.81666666666667,"Control"
2,5,3,1,4,3,3,2.5,3,4,3.5,7,2.98333333333333,3.8,1,1,3.5,3.55,"Control"
1,3,3,2,3,3.8,2,2.5,5,1,4.5,6,3.59166666666667,3.66666666666667,2.95833333333333,3,3.24166666666667,3.15,"Control"
1,2,3,2,2,4.4,3,3,3,3,3,4,2.55,3.43333333333333,1,1.7,1.95833333333333,1.84166666666667,"Control"
1,2,3,2,4,3.8,3,5,4,1.5,4,6,3.15,3.66666666666667,1.04166666666667,1.175,3.025,3.125,"Control"
2,5,2,1,4,2.8,1.5,4,3,5,4.5,5,2.08333333333333,2.85833333333333,1,1,3.475,3.375,"Control"
