iter	Passed	Remaining
826	10459	2188
827	10474	2175
828	10491	2164
829	10506	2151
830	10522	2139
831	10534	2127
832	10550	2115
833	10563	2102
834	10576	2089
835	10587	2077
836	10600	2064
837	10614	2051
838	10627	2039
839	10639	2026
840	10651	2013
841	10663	2000
842	10675	1988
843	10688	1975
844	10700	1962
845	10713	1950
846	10725	1937
847	10738	1924
848	10751	1912
849	10764	1899
850	10777	1886
851	10789	1874
852	10802	1861
853	10814	1848
854	10825	1835
855	10838	1823
856	10850	1810
857	10862	1797
858	10874	1785
859	10888	1772
860	10901	1759
861	10915	1747
862	10926	1734
863	10939	1721
864	10950	1709
865	10963	1696
866	10974	1683
867	10986	1670
868	10999	1658
869	11011	1645
870	11024	1632
871	11036	1620
872	11048	1607
873	11062	1594
874	11074	1582
875	11086	1569
876	11099	1556
877	11111	1543
878	11124	1531
879	11136	1518
880	11146	1505
881	11159	1493
882	11170	1480
883	11183	1467
884	11196	1454
885	11208	1442
886	11221	1429
887	11233	1416
888	11246	1404
889	11259	1391
890	11271	1378
891	11284	1366
892	11297	1353
893	11311	1341
894	11324	1328
895	11336	1315
896	11348	1303
897	11361	1290
898	11374	1277
899	11386	1265
900	11399	1252
901	11412	1239
902	11423	1227
903	11435	1214
904	11447	1201
905	11459	1188
906	11472	1176
907	11485	1163
908	11497	1151
909	11510	1138
910	11524	1125
911	11536	1113
912	11549	1100
913	11563	1087
914	11576	1075
915	11589	1062
916	11601	1050
917	11613	1037
918	11626	1024
919	11638	1012
920	11651	999
921	11665	986
922	11677	974
923	11691	961
924	11704	948
925	11718	936
926	11730	923
927	11742	911
928	11756	898
929	11768	885
930	11781	873
931	11793	860
932	11805	847
933	11817	835
934	11831	822
935	11843	809
936	11857	797
937	11871	784
938	11883	771
939	11895	759
940	11908	746
941	11920	733
942	11931	721
943	11944	708
944	11956	695
945	11969	683
946	11981	670
947	11993	657
948	12006	645
949	12019	632
950	12031	619
951	12044	607
952	12057	594
953	12069	581
954	12081	569
955	12094	556
956	12107	544
957	12119	531
958	12131	518
959	12145	506
960	12157	493
961	12169	480
962	12182	468
963	12194	455
964	12205	442
965	12219	430
966	12231	417
967	12244	404
968	12256	392
969	12268	379
970	12279	366
971	12292	354
972	12305	341
973	12317	328
974	12329	316
975	12341	303
976	12353	290
977	12366	278
978	12378	265
979	12390	252
980	12402	240
981	12414	227
982	12426	214
983	12438	202
984	12451	189
985	12463	176
986	12476	164
987	12489	151
988	12501	139
989	12514	126
990	12527	113
991	12539	101
992	12552	88
993	12565	75
994	12578	63
995	12591	50
996	12604	37
997	12617	25
998	12628	12
999	12643	0
